customer_id,recency,frequency,monetary
0009655768c64bdeb2e877511632db8f,3,8,127.6
00116118485d4dfda04fdbaba9a87b5c,40,3,4.09
0011e0d4e6b944f998e987f904e8c1e5,10,5,79.46000000000001
0020c2b971eb4e9188eac86d93036a77,1,8,196.86
0020ccbbb6d84e358d3414a3ff76cffd,7,12,154.04999999999998
003d66b6608740288d6cc97a6903f4f0,3,18,48.34000000000001
00426fe3ffde4c6b9cb9ad6d077a13ea,3,17,68.50999999999999
004b041fbfe44859945daa2c7f79ee64,0,6,138.36
004c5799adbf42868b9cff0396190900,4,12,347.37999999999994
005500a7188546ff8a767329a2f7c76a,21,4,20.360000000000003
0056df74b63b4298809f0b375a304cf4,7,5,144.14
0063def0f9c14bc4805322a488839b32,54,3,7.210000000000001
0069a50874d846438e58acff5e594725,3,5,33.5
00715b6e55c3431cb56ff7307eb19675,2,15,375.11999999999995
0082fd87c18f45f2be70dbcbb0fb8aad,3,7,121.85
00840a2ca5d2408e982d56544dc14ffd,5,17,62.93
00857b24b13f4fe0ad17b605f00357f5,15,4,6.26
008d7088107b468893889da0ede0df5c,44,7,16.18
0091d2b6a5ea4defaa8393e4e816db60,29,12,279.15999999999997
0092a132ead946ceb30d11a1ed513d20,27,3,2.54
0099bf30e4cb4265875266eb3eb25eab,20,9,105.83
009d10c2c38a4fd795a7bc6ddbbddb78,5,7,11.780000000000001
00a794f62b9a48beb58f8f6c02c2f1a6,19,11,166.4
00ad4c2cace94f67a6354ec90d6c6f45,15,8,20.73
00ae03011f9f49b8a4b3e6d416678b0b,3,8,218.04999999999995
00aee28bbb3848dd8a31f0c91dc267dd,28,5,20.53
00b18b535d6d4f779dea4dc9ac451478,2,5,133.25
00b3400e4ff64ee68ce9ada1d0c222f0,2,10,163.92
00b3c376db2a4115af3aef34a02f61d6,6,8,219.63
00b5fb9d842d437e83033ad9e36f7148,9,3,7.74
00b901d68f8f4fd68075184cd0f772d2,24,4,53.550000000000004
00bbce6533f44ddeaf4dd32bcab55441,19,7,77.21000000000001
00bc42a62f884b41a13cc595856cf7c3,2,8,150.64
00bc983061d3471e8c8e74d31b7c8b6f,53,3,63.49999999999999
00c20a9202d5475190b31a24de6fb06d,15,8,164.01
00c2f812f4604c8893152a5c6572030e,22,5,124.09
00c32a104f0c4065b5b552895fb22e34,55,2,6.9799999999999995
00c5a385c71a4d3db5e9b4e31e430943,26,2,2.59
00c6035df45840038a72766c6d27a0db,8,11,241.54999999999998
00c91f31f5f74e769fa7a359b63e1a9f,6,14,134.74000000000004
00ceaf16a40341e6996d543d04daa2c2,4,9,26.98
00cf1bbec83f4a658f8994e556db4633,25,3,64.27000000000001
00cf471ed1aa42a8bdde5561d67da2b1,9,8,26.18
00d6dc87be4146ceb47fcd4baaaf6477,7,12,334.64000000000004
00d791e20c564add8056498e40eb56cc,10,19,59.62
00d7c95f793a4212af44e632fdc1e431,8,7,162.42
00d91c5919514448bc4f718e4e3f26ab,1,2,44.599999999999994
00e20b4ca129458aaab0f4727ef3513a,1,20,191.54999999999998
00e52682848542c3a6f59b7824e9a5c5,15,2,23.07
00e8d701c583461e81cc10053681a12b,2,7,30.98
00e9f403afa641889cd034ee7c7ca6e9,1,17,614.59
00ed7e22b32749cfafbfd88592d401d4,4,11,236.95999999999998
00ee2ca6421c4af0aeca60a1b3e00f6c,1,1,4.03
00ee69db83964d6da32f8109b32a1ce7,0,5,15.790000000000001
00fac72fd6ad448e8019b175267023df,11,10,186.23
00fbb9b5edb94f02afbaf1eb49bb4d7d,31,3,80.1
00fdd4416dec40b49180814c0a7c8d76,19,3,76.65
0100dbd4e8554aa69b73b6ac0547f6bf,7,3,6.55
0103de989e084e0fab400e80678d7591,8,11,144.97
